time,open,high,low,close,Volume
1739889000,8.41,8.73,8.25,8.39,
1739889300,8.34,8.34,8.04,8.04,
1739889600,7.99,8.15,7.92,8.15,
1739889900,8.13,8.28,8,8.13,
1739890200,8.16,8.32,7.96,8.05,
1739890500,8.02,8.21,7.87,8.07,
1739890800,8.15,8.54,8.15,8.38,
1739891100,8.33,8.43,8.16,8.2,
1739891400,8.19,8.31,8.03,8.09,
1739891700,8.08,8.41,8.02,8.41,
1739892000,8.47,8.47,8.17,8.25,
1739892300,8.26,8.44,8.26,8.38,
1739892600,8.33,8.39,8.23,8.36,
1739892900,8.35,8.35,8.19,8.29,
1739893200,8.28,8.32,8.15,8.18,
1739893500,8.19,8.38,8.19,8.28,
1739893800,8.25,8.28,8.03,8.07,
1739894100,8.03,8.03,7.88,7.88,
1739894400,7.92,7.92,7.89,7.9,
1739894700,7.91,7.97,7.9,7.97,
1739895000,7.96,7.96,7.86,7.96,
1739895300,7.93,8.01,7.93,7.98,
1739895600,7.97,8.22,7.96,8.08,
1739895900,8.07,8.09,7.9,7.99,
1739896200,7.96,8.07,7.96,8.06,
1739896500,8.07,8.15,7.99,7.99,
1739896800,7.96,8.1,7.96,8.09,
1739897100,8.07,8.07,7.94,7.96,
1739897400,7.93,7.96,7.9,7.95,
1739897700,7.96,8.19,7.95,8.19,
1739898000,8.2,8.37,8.2,8.34,
1739898300,8.3,8.56,8.25,8.5,
1739898600,8.51,8.64,8.42,8.44,
1739898900,8.45,8.74,8.45,8.68,
1739899200,8.65,8.74,8.64,8.71,
1739899500,8.72,8.73,8.62,8.62,
1739899800,8.58,8.58,8.44,8.49,
1739900100,8.62,8.63,8.52,8.53,
1739900400,8.56,8.56,8.43,8.55,
1739900700,8.53,8.61,8.53,8.59,
1739901000,8.46,8.5,8.42,8.44,
1739901300,8.46,8.56,8.46,8.54,
1739901600,8.53,8.53,8.41,8.45,
1739901900,8.46,8.67,8.44,8.67,
1739902200,8.64,8.86,8.63,8.8,
1739902500,8.79,8.93,8.78,8.88,
1739902800,8.92,9.2,8.9,8.91,
1739903100,8.93,9,8.91,9,
1739903400,8.98,9.18,8.98,9.1,
1739903700,9.11,9.26,9.11,9.19,
1739904000,9.2,9.36,9.2,9.36,
1739904300,9.35,9.38,9.2,9.22,
1739904600,9.21,9.24,9.12,9.18,
1739904900,9.15,9.27,9.15,9.27,
1739905200,9.26,9.3,9.22,9.28,
1739905500,9.31,10.4,9.28,10.14,
1739905800,10.07,10.18,9.86,10.06,
1739906100,10.08,10.29,10.05,10.28,
1739906400,10.26,10.41,9.62,9.68,
1739906700,9.63,9.76,9.63,9.72,
1739907000,9.73,9.81,9.65,9.68,
1739907300,9.63,9.87,9.63,9.87,
1739907600,9.88,9.88,9.71,9.75,
1739907900,9.71,9.71,9.48,9.54,
1739908200,9.5,9.52,9.38,9.46,
1739908500,9.48,9.5,9.4,9.44,
1739908800,9.41,9.51,9.41,9.51,
1739909100,9.52,9.69,9.52,9.65,
1739909400,9.63,9.68,9.61,9.62,
1739909700,9.64,9.73,9.59,9.69,
1739910000,9.67,9.76,9.63,9.71,
1739910300,9.72,10,9.66,10,
1739910600,10.02,10.14,9.98,10.14,
1739910900,10.19,10.32,10.19,10.29,
1739911200,10.33,10.33,10.06,10.06,
1739911500,10.04,10.04,9.74,9.78,
1739911800,9.69,9.91,9.67,9.67,
1739912100,9.65,9.65,9.06,9.06,
1739912400,8.93,9.31,8.93,9.23,
1739912700,9.24,9.31,9.24,9.24,
1739913000,9.26,9.39,9.25,9.34,
1739975400,7.94,7.97,7.52,7.52,
1739975700,7.53,7.57,7.47,7.51,
1739976000,7.56,7.6,7.43,7.45,
1739976300,7.49,7.59,7.3,7.59,
1739976600,7.51,7.62,7.37,7.37,
1739976900,7.35,7.54,7.35,7.54,
1739977200,7.51,7.65,7.25,7.65,
1739977500,7.56,7.66,7.34,7.6,
1739977800,7.56,7.61,7.54,7.61,
1739978100,7.59,7.62,7.39,7.57,
1739978400,7.59,7.65,7.48,7.48,
1739978700,7.52,7.56,7.44,7.48,
1739979000,7.52,7.55,7.24,7.46,
1739979300,7.4,7.56,7.4,7.47,
1739979600,7.46,7.49,7.39,7.42,
1739979900,7.44,7.51,7.41,7.51,
1739980200,7.5,7.52,7.45,7.45,
1739980500,7.48,7.78,7.48,7.57,
1739980800,7.55,7.55,7.36,7.44,
1739981100,7.43,7.55,7.43,7.55,
