datetime,open,high,low,close,volume,vwap,transactions
2024-02-20 04:00:00-05:00,498.33,498.42,498.3,498.39,3952.0,498.3398,72
2024-02-20 04:01:00-05:00,498.33,498.47,498.33,498.47,1863.0,498.3798,29
2024-02-20 04:02:00-05:00,498.56,498.56,498.54,498.54,706.0,498.5316,8
2024-02-20 04:04:00-05:00,498.56,498.57,498.47,498.47,1775.0,498.5127,21
2024-02-20 04:05:00-05:00,498.54,498.54,498.52,498.52,1045.0,498.5271,17
2024-02-20 04:06:00-05:00,498.47,498.47,498.47,498.47,266.0,498.514,10
2024-02-20 04:07:00-05:00,498.52,498.52,498.4,498.4,3315.0,498.4608,20
2024-02-20 04:08:00-05:00,498.44,498.44,498.44,498.44,648.0,498.4578,8
2024-02-20 04:10:00-05:00,498.4,498.47,498.4,498.47,1778.0,498.4257,20
2024-02-20 04:11:00-05:00,498.52,498.52,498.48,498.49,677.0,498.5025,7
2024-02-20 04:12:00-05:00,498.5,498.51,498.5,498.51,772.0,498.5027,4
2024-02-20 04:14:00-05:00,498.45,498.45,498.45,498.45,561.0,498.4627,8
2024-02-20 04:15:00-05:00,498.47,498.47,498.47,498.47,459.0,498.4764,5
2024-02-20 04:16:00-05:00,498.57,498.59,498.57,498.59,832.0,498.5777,11
2024-02-20 04:17:00-05:00,498.59,498.6,498.59,498.6,446.0,498.5942,5
2024-02-20 04:19:00-05:00,498.65,498.65,498.57,498.57,1137.0,498.6022,7
2024-02-20 04:20:00-05:00,498.54,498.54,498.54,498.54,275.0,498.5502,2
2024-02-20 04:22:00-05:00,498.49,498.5,498.49,498.49,431.0,498.4921,9
2024-02-20 04:24:00-05:00,498.28,498.28,498.28,498.28,173.0,498.3162,19
2024-02-20 04:25:00-05:00,498.19,498.2,498.08,498.08,1026.0,498.1383,15
2024-02-20 04:26:00-05:00,498.12,498.13,498.12,498.13,297.0,498.1126,11
2024-02-20 04:28:00-05:00,498.04,498.04,498.04,498.04,1022.0,498.0442,23
2024-02-20 04:29:00-05:00,498.09,498.09,498.01,498.01,2262.0,498.0188,15
2024-02-20 04:31:00-05:00,498.05,498.05,498.0,498.0,2172.0,498.0357,32
2024-02-20 04:32:00-05:00,497.92,497.92,497.91,497.91,607.0,497.9226,16
2024-02-20 04:33:00-05:00,497.9,497.9,497.9,497.9,196.0,497.9028,3
2024-02-20 04:34:00-05:00,497.91,497.91,497.91,497.91,183.0,497.9165,4
2024-02-20 04:35:00-05:00,497.84,497.84,497.84,497.84,219.0,497.8444,11
2024-02-20 04:39:00-05:00,497.86,497.94,497.86,497.94,571.0,497.8911,9
2024-02-20 04:40:00-05:00,497.96,497.96,497.96,497.96,472.0,497.9602,8
2024-02-20 04:42:00-05:00,497.98,498.0,497.98,498.0,511.0,497.9877,8
2024-02-20 04:45:00-05:00,498.06,498.09,498.06,498.09,929.0,498.0676,13
2024-02-20 04:47:00-05:00,498.07,498.07,498.07,498.07,260.0,498.0681,5
2024-02-20 04:48:00-05:00,498.11,498.13,498.11,498.13,707.0,498.1155,9
2024-02-20 04:49:00-05:00,498.1,498.1,498.1,498.1,2582.0,498.0994,12
2024-02-20 04:50:00-05:00,498.05,498.05,498.05,498.05,178.0,498.0544,2
2024-02-20 04:52:00-05:00,498.15,498.15,498.15,498.15,280.0,498.1408,9
2024-02-20 04:53:00-05:00,498.16,498.16,498.16,498.16,206.0,498.164,7
2024-02-20 04:54:00-05:00,498.1,498.1,498.1,498.1,201.0,498.1128,4
2024-02-20 04:57:00-05:00,498.13,498.13,498.13,498.13,124.0,498.13,1
2024-02-20 04:58:00-05:00,498.26,498.26,498.26,498.26,174.0,498.2373,9
2024-02-20 04:59:00-05:00,498.1,498.1,498.1,498.1,299.0,498.0804,4
2024-02-20 05:00:00-05:00,497.89,497.89,497.89,497.89,250.0,497.8933,15
2024-02-20 05:01:00-05:00,497.69,497.69,497.69,497.69,415.0,497.7092,10
2024-02-20 05:02:00-05:00,497.78,497.82,497.78,497.82,375.0,497.7887,3
2024-02-20 05:03:00-05:00,497.76,497.77,497.76,497.77,1100.0,497.7691,5
2024-02-20 05:04:00-05:00,497.76,497.76,497.67,497.68,3334.0,497.7131,25
2024-02-20 05:05:00-05:00,497.68,497.68,497.63,497.63,323.0,497.6493,14
2024-02-20 05:07:00-05:00,497.55,497.55,497.45,497.45,1297.0,497.5301,11
2024-02-20 05:10:00-05:00,497.41,497.41,497.41,497.41,172.0,497.3783,4
2024-02-20 05:11:00-05:00,497.57,497.57,497.56,497.56,269.0,497.5439,8
2024-02-20 05:12:00-05:00,497.59,497.59,497.59,497.59,388.0,497.5916,6
2024-02-20 05:13:00-05:00,497.57,497.59,497.53,497.53,2633.0,497.5724,26
