time,open,high,low,close,Volume
1739197800,6046.4,6059.51,6046.4,6054.12,153033361
1739198100,6053.76,6055.51,6047.88,6049.49,60582688
1739198400,6049.26,6049.89,6044.84,6049.12,46143217
1739198700,6049.33,6052.36,6047.74,6047.78,46185204
1739199000,6048.05,6053.31,6046.83,6052.35,37301210
1739199300,6052.33,6053.9,6050.27,6053.78,31673450
1739199600,6054.03,6059.82,6052.38,6059.7,37960330
1739199900,6059.6,6065.91,6059.56,6064.39,37412530
1739200200,6064.33,6064.93,6061.27,6062.67,36041190
1739200500,6062.71,6063.66,6060.91,6062.82,30529580
1739200800,6062.83,6065.14,6059.75,6063.14,30644050
1739201100,6063.39,6066.78,6062.38,6065.86,35901240
1739201400,6065.93,6068.72,6065.93,6066.55,31129060
1739201700,6066.55,6068.11,6065.42,6066.62,29788840
1739202000,6066.53,6068.2,6064.3,6066.49,28159120
1739202300,6066.5,6071.68,6066.44,6070.5,34178570
1739202600,6070.64,6071.14,6068.87,6069.91,24288560
1739202900,6070.06,6071.18,6066.82,6067.18,24723540
1739203200,6067.13,6070.2,6067.13,6067.82,26719600
1739203500,6067.79,6067.79,6063.86,6065.67,23343630
1739203800,6065.76,6068.07,6063.85,6065.2,25609910
1739204100,6065.14,6065.37,6060.35,6061.15,24600040
1739204400,6061.26,6063.04,6059.03,6063.03,22944970
1739204700,6063.13,6064.22,6061.1,6061.44,25420720
1739205000,6061.57,6062.08,6057.66,6059.13,26433710
1739205300,6059.2,6061.68,6058.9,6061.14,24415210
1739205600,6061.19,6062.31,6060.01,6060.68,22159120
1739205900,6060.71,6061.91,6058.45,6059.25,21266220
1739206200,6059.3,6061.83,6059.11,6061.29,21444620
1739206500,6061.32,6063.62,6061.18,6062.84,18246420
1739206800,6062.93,6063.09,6059.6,6059.6,20377560
1739207100,6059.69,6059.84,6055.4,6056.98,19051320
1739207400,6057.05,6057.07,6051.16,6053.49,20805360
1739207700,6053.42,6055.15,6051.46,6054.46,18734450
1739208000,6054.52,6057.76,6053.44,6057.71,18439820
1739208300,6057.8,6058.17,6054.78,6055.02,17702150
1739208600,6055.05,6059.02,6054.92,6058.74,16396770
1739208900,6058.68,6060.88,6058.61,6060.59,16466230
1739209200,6060.62,6062.34,6060.62,6060.87,15736270
1739209500,6060.95,6061.06,6058.86,6060.21,17557050
1739209800,6060.22,6064,6060.21,6063.91,16447070
1739210100,6063.92,6064.71,6063.18,6064.51,16838100
1739210400,6064.52,6066.31,6063.87,6066.08,16298860
1739210700,6066.09,6066.71,6065.49,6065.96,19436000
1739211000,6066.02,6067.53,6065.53,6067.41,16392330
1739211300,6067.54,6068.68,6065.62,6066.53,18844240
1739211600,6066.49,6068.47,6066.2,6066.94,16073700
1739211900,6066.95,6068.4,6065.14,6065.52,16692830
1739212200,6065.52,6066.3,6064.46,6065.28,16728300
1739212500,6065.29,6066.81,6064.88,6066.16,17159610
1739212800,6066.12,6067.01,6065.35,6066.81,17867890
1739213100,6066.82,6068.06,6066.49,6067.94,18511460
1739213400,6067.93,6071.12,6067.76,6070.18,18589070
1739213700,6070.25,6070.81,6069.66,6069.81,17947870
1739214000,6069.75,6069.75,6065.58,6067.85,18917060
1739214300,6067.87,6069.63,6067.75,6069.49,16306190
1739214600,6069.46,6071.5,6069.05,6071.28,17495730
1739214900,6071.28,6071.75,6069.63,6069.88,18205160
1739215200,6070,6073.38,6070,6071.9,18136110
1739215500,6071.91,6071.97,6068.98,6070.61,18563460
1739215800,6070.59,6071.91,6070.3,6070.68,17318670
1739216100,6070.63,6071.28,6069.69,6069.7,17047970
1739216400,6069.62,6069.62,6067.75,6068.31,17137940
1739216700,6068.34,6068.34,6066.26,6066.93,18237510
1739217000,6066.98,6068.4,6065.75,6068.39,18714960
1739217300,6068.44,6070.23,6067.49,6067.74,20275930
1739217600,6067.85,6068.97,6066.17,6068.42,21311510
1739217900,6068.45,6070.25,6068.31,6069.08,21939360
1739218200,6069.12,6070.35,6068.32,6070.28,25484990
1739218500,6070.35,6070.57,6068.66,6068.8,25457860
1739218800,6068.83,6069.4,6067.26,6067.49,26678000
1739219100,6067.55,6068.3,6066.93,6067.53,29197160
1739219400,6067.47,6067.47,6065.74,6066.31,30870060
1739219700,6066.4,6066.4,6063.8,6064.76,33499630
1739220000,6064.97,6068.23,6064.87,6067.65,34991870
1739220300,6067.65,6067.65,6064.17,6066.32,41602390
1739220600,6067.38,6068.61,6061.22,6064.64,71550260
1739220900,6064.48,6067.53,6062.45,6067.03,169762130
1739221200,6066.2,6066.59,6066.2,6066.45,435615420
1739284200,6043.94,6053.14,6042.34,6052.52,153263445
1739284500,6052.53,6055.34,6050.24,6052.19,48108382
1739284800,6052.17,6054.27,6050.15,6052.96,39396995
1739285100,6053.17,6053.8,6050.64,6050.71,39282078
1739285400,6050.48,6055.08,6050.48,6052.88,36040320
1739285700,6053.07,6053.99,6050.88,6052.29,39009430
1739286000,6052.48,6058.19,6050.67,6050.67,43505460
1739286300,6051.2,6051.34,6045.59,6051.3,37970980
1739286600,6051.42,6053.8,6049.94,6052.16,31872570
1739286900,6052.19,6054.44,6051.6,6051.61,30746070
1739287200,6051.62,6056.32,6050.03,6054.78,38112750
1739287500,6054.59,6060.52,6054.21,6059.95,31705470
1739287800,6059.85,6061.28,6058.76,6059.02,27631470
1739288100,6058.94,6062.19,6058.65,6062.09,24900980
1739288400,6061.77,6063.89,6061.31,6063.86,26777160
1739288700,6063.76,6067.81,6063.76,6067.41,25345910
1739289000,6067.37,6070.14,6067.27,6069.73,28059610
1739289300,6069.75,6069.86,6064.87,6065.37,31476500
1739289600,6065.45,6067.03,6063.28,6064.03,30136660
1739289900,6064.15,6067.03,6063.41,6065.86,26424460
1739290200,6065.89,6066.69,6064.92,6066.19,25804070
1739290500,6066.25,6067.12,6064.7,6066.49,27442240
1739290800,6066.54,6068.12,6066.54,6066.95,25379880
1739291100,6066.91,6068.72,6063.99,6064.12,24424720
1739291400,6064.18,6065.53,6063.06,6063.99,25339170
1739291700,6064.12,6066.63,6062.91,6066.41,28006810
1739292000,6066.47,6067.22,6065.39,6066.44,23748870
1739292300,6066.47,6067.05,6064.79,6064.91,21949480
1739292600,6064.95,6065.1,6060.29,6060.29,24080420
1739292900,6060.34,6060.67,6058.39,6060.33,27390620
1739293200,6060.2,6060.2,6054.6,6055.31,34254590
1739293500,6055.47,6055.72,6049.1,6051.97,31898960
1739293800,6051.91,6053.8,6050.99,6051.72,24779890
1739294100,6051.68,6057.65,6050.5,6057.58,25763350
1739294400,6057.54,6061.78,6056.95,6061.31,21544700
1739294700,6061.24,6062.63,6059.89,6061.5,20763950
1739295000,6061.62,6062.31,6060.04,6060.04,18860730
1739295300,6060.05,6060.05,6056.99,6058.41,17850350
1739295600,6058.53,6058.98,6056.85,6057.6,19402350
1739295900,6057.41,6058.18,6056.89,6057.39,19939180
1739296200,6057.36,6057.86,6054.68,6056.09,18049350
1739296500,6056.14,6056.57,6055.34,6055.63,15695290
1739296800,6055.7,6055.98,6053.54,6054.84,17242500
1739297100,6054.92,6056.83,6054.59,6056.75,16927660
1739297400,6056.82,6058.2,6053.89,6056.4,18177420
1739297700,6056.4,6058.85,6055.96,6058.85,17525060
1739298000,6058.88,6059.72,6057.29,6057.45,17315030
1739298300,6057.29,6058.8,6057.1,6058.09,20453370
1739298600,6058.07,6063.61,6057.8,6063.37,21899760
1739298900,6063.4,6070.33,6063.24,6068.24,23317110
1739299200,6068.17,6070.66,6067.93,6069.03,18130020
1739299500,6069.08,6070.81,6068.24,6068.4,20117420
1739299800,6068.39,6068.39,6065.57,6065.78,15963370
1739300100,6065.63,6065.71,6064.02,6064.29,15576490
1739300400,6063.89,6066.14,6063.67,6065.95,18912720
1739300700,6065.95,6066.27,6063.94,6064.53,18483700
1739301000,6064.67,6065.59,6062.41,6062.85,19239460
1739301300,6062.84,6064.84,6062.5,6063.95,21653240
1739301600,6063.99,6065.83,6063.86,6065.71,19060990
1739301900,6065.72,6066.38,6064.4,6065.18,20511610
1739302200,6065.2,6067.34,6065.17,6066,20451090
1739302500,6065.96,6069.04,6065.89,6069.04,20134110
1739302800,6069,6076.28,6069,6074.56,27714090
1739303100,6074.54,6074.54,6072.55,6072.96,20763720
1739303400,6073.01,6074.21,6072.22,6073.19,19342320
1739303700,6073.16,6074.35,6071.94,6072.02,19873670
1739304000,6072.03,6074.56,6072.03,6073.29,21015020
1739304300,6073.35,6073.76,6071.12,6071.29,22510420
1739304600,6071.26,6073.26,6071.26,6073.04,23498010
1739304900,6073.11,6073.21,6069.96,6071.65,25915940
1739305200,6071.64,6071.86,6069.61,6069.69,24866770
1739305500,6069.66,6071.49,6068.61,6070.74,26983410
1739305800,6070.7,6073.56,6069.95,6071.04,32156170
1739306100,6071.05,6071.13,6066.6,6066.61,34982900
1739306400,6066.24,6068.62,6064.77,6067.54,36498700
1739306700,6067.62,6067.67,6064.83,6066.22,42188250
1739307000,6069.12,6069.28,6065.38,6065.87,72496220
1739307300,6066.15,6070.65,6064.49,6068.91,170515060
1739307600,6069.72,6069.72,6068.49,6068.49,352787340
1739370600,6013.65,6014.4,6003,6014.13,191258810
1739370900,6014.05,6020.13,6010.77,6018.98,57099903
1739371200,6018.98,6025.02,6017.2,6024.49,47451777
1739371500,6024.36,6029.73,6023.27,6029.71,48072740
1739371800,6029.6,6034.56,6026.82,6034.03,37801000
1739372100,6034.1,6034.1,6030.66,6031.63,35352410
1739372400,6031.83,6032.28,6017.03,6017.03,41377800
1739372700,6016.94,6023.37,6016.12,6021.14,38734740
1739373000,6021.22,6021.94,6013.86,6016.54,37360990
1739373300,6016.54,6030.35,6015.6,6030.23,36054550
1739373600,6030.4,6040.6,6029.13,6037.99,35125000
1739373900,6037.91,6039.87,6030.75,6032.61,33001750
1739374200,6032.6,6037.59,6032.48,6036.53,29852370
1739374500,6036.68,6049.15,6035.47,6045.92,43439870
1739374800,6045.93,6046.43,6040.2,6042.75,30021490
1739375100,6042.74,6043.74,6036.24,6037.97,28342670
1739375400,6038.24,6041.45,6038.03,6040.87,26397620
1739375700,6040.97,6043.3,6040.7,6042.44,26049140
1739376000,6042.6,6042.6,6037.43,6038,26778770
1739376300,6038.07,6038.72,6032.17,6033.2,23719880
1739376600,6033.47,6035.68,6026.1,6027.44,26318680
1739376900,6027.36,6028.73,6026.05,6027.35,23379080
1739377200,6027.33,6028.87,6022.04,6024.13,24737790
