time,open,high,low,close,Volume
1754896500,15.81,15.82,15.81,15.81,
1754896800,15.81,15.82,15.81,15.82,
1754897100,15.8,15.83,15.8,15.83,
1754897400,15.84,15.87,15.82,15.85,
1754897700,15.84,15.87,15.84,15.86,
1754898000,15.87,15.87,15.85,15.87,
1754898300,15.9,15.95,15.9,15.93,
1754898600,15.95,15.96,15.93,15.96,
1754898900,15.99,16.01,15.97,16,
1754899200,15.99,16.05,15.98,16.05,
1754899500,16.03,16.13,16.02,16.06,
1754899800,16.05,16.12,16.04,16.09,
1754900100,16.09,16.12,16.07,16.08,
1754900400,16.07,16.1,16.07,16.1,
1754900700,16.09,16.09,16.03,16.06,
1754901000,16.07,16.07,16.02,16.02,
1754901300,16,16.02,15.98,15.98,
1754901600,15.97,16.02,15.97,15.99,
1754901900,15.98,16.01,15.98,16.01,
1754902200,16,16.05,16,16.04,
1754902500,16.03,16.03,16.02,16.03,
1754902800,16.04,16.07,16.04,16.05,
1754903100,16.02,16.04,16.01,16.04,
1754903400,15.97,16,15.97,15.97,
1754903700,15.98,15.99,15.96,15.97,
1754904000,15.94,15.97,15.94,15.97,
1754904300,15.94,15.97,15.94,15.97,
1754904600,15.94,15.96,15.93,15.96,
1754904900,15.95,15.96,15.93,15.94,
1754905200,15.93,15.94,15.92,15.94,
1754905500,15.91,15.92,15.9,15.9,
1754905800,15.89,15.92,15.89,15.92,
1754906100,15.91,15.91,15.9,15.9,
1754906400,15.91,15.92,15.89,15.89,
1754906700,15.92,15.92,15.92,15.92,
1754907000,15.93,15.94,15.9,15.91,
1754907300,15.9,15.9,15.86,15.86,
1754907600,15.87,15.87,15.84,15.86,
1754907900,15.83,15.86,15.83,15.83,
1754908200,15.86,15.86,15.83,15.85,
1754908500,15.88,15.88,15.85,15.85,
1754908800,15.86,15.88,15.85,15.85,
1754909100,15.86,15.9,15.86,15.9,
1754909400,15.89,15.91,15.88,15.89,
1754909700,15.86,15.86,15.81,15.81,
1754910000,15.82,15.82,15.8,15.8,
1754910300,15.78,15.8,15.78,15.8,
1754910600,15.79,15.82,15.78,15.82,
1754910900,15.81,15.84,15.8,15.84,
1754911200,15.83,15.86,15.83,15.83,
1754911500,15.84,15.86,15.82,15.86,
1754911800,15.87,15.87,15.83,15.85,
1754912100,15.84,15.85,15.81,15.81,
1754912400,15.82,15.82,15.82,15.82,
1754912700,15.83,15.83,15.78,15.81,
1754913000,15.8,15.8,15.78,15.79,
1754913300,15.77,15.79,15.77,15.79,
1754913600,15.77,15.77,15.72,15.74,
1754913900,15.75,15.75,15.75,15.75,
1754914200,15.72,15.76,15.72,15.74,
1754914500,15.75,15.75,15.74,15.74,
1754914800,15.72,15.79,15.72,15.79,
1754915100,15.76,15.83,15.76,15.8,
1754915400,15.82,15.85,15.81,15.84,
1754915700,15.81,15.87,15.81,15.84,
1754916000,15.83,15.83,15.8,15.83,
1754916300,15.8,15.84,15.8,15.84,
1754916600,15.81,15.86,15.8,15.86,
1754916900,15.83,15.87,15.83,15.83,
1754917200,15.82,15.87,15.82,15.86,
1754917500,15.87,15.89,15.84,15.87,
1754917800,15.84,15.9,15.84,15.84,
1754918100,15.85,15.85,15.82,15.83,
1754918400,15.84,15.89,15.84,15.87,
1754919000,15.91,15.99,15.89,15.95,
1754919300,15.94,15.94,15.86,15.86,
1754919600,15.85,15.96,15.83,15.94,
1754919900,15.91,15.96,15.9,15.94,
1754920200,15.95,15.99,15.94,15.99,
1754920500,15.95,15.96,15.85,15.85,
1754920800,15.84,15.87,15.82,15.85,
1754921100,15.87,15.87,15.79,15.8,
1754921400,15.79,15.82,15.73,15.8,
1754921700,15.77,15.8,15.69,15.69,
1754922000,15.67,15.73,15.67,15.73,
